Lat,Long,Date,FireDate,BurnID,ID,fireType,Sev4Cls,Sev5Cls,CBI_Plot,CBI_Under,CBI_Over,OzCBI_Plot,OzCBI_Under,OzCBI_Over,RBR,dNBR,NBRpre,NBRpost,siteReserve,fireHx,plotType,plotNumber,plotTag,Obs,Sev_Field,%burn,A1,A2,A3,A4,A5,CBI_A,B%cov,B1,B2,B3,B4,CBI_B,C%cov,C1,C2,C3,C4,CBI_C,D%cov,D1,D2,D3,D4,D5,CBI_D,E%cov,E1,E2,E3,E4,E5,CBI_E,firemonNotes,A1,A2,A3,A4,OzCBI_A,B%cov,B1,B2,B3,OzCBI_B,C%cov,C1,C2,C3,OzCBI_C,E.ht,E%cov,E1,E2,E3,E4,OzCBI_E,OZcbiNotes,dataNotes,missingData,rbr,dnbr,preNBR,postNBR,RdNBR
-31.12471,115.91716,19-Jan-20,17-Sep-19,SWC_046,RedGully1978_CBI1,PB,Hi,CB,2.576041667,2.534722222,2.7,,,,623.55774,872.63007,0.39844,-0.47419,RedGullyNR,1978,CBI,CBI1,,JBF,H,100,3,NA,1,NA,1,1.666666667,45,3,3,3,3,3,10,2.75,3,3,3,2.9375,35,3,2.5,2.5,3,2.5,2.7,,,,,,,,"High sev, most canopy consumed",,,,,,,,,,,,,,,,,,,,,,,,,,432.5949418,505.2783816,0.166732832,-0.338545554,1237.428614
-31.564284,115.684454,16-Jan-20,11-Dec-19,SWC_057,Yanch05_CBI3,WF,Hi,CB,2.708333333,2.708333333,,,,,606.73883,802.81671,0.32217,-0.48065,YanchepNP,2005,CBI,CBI3,,JBF,hi,100,3,NA,3,NA,1.5,2.5,10,2.5,3,3,3,2.875,50,2,3,3,3,2.75,NA,,,,,,,NA,,,,,,,"ridge heaty; high severity; banksess, haketrif, xantprei.",,,,,,,,,,,,,,,,,,,,,,,,,,530.0341302,593.9607496,0.119608304,-0.474352459,1717.422229
-31.560812,115.681216,18-Jan-20,11-Dec-19,SWC_057,Yanch02_CBI1,WF,Hi,CB,2.916666667,2.888888889,3,,,,594.94354,762.6673,0.28092,-0.48175,YanchepNP,2002,CBI,CBI1,,JBF,hi,100,3,NA,3,NA,2,2.666666667,15,3,3,3,3,3,80,3,3,3,3,3,5,3,3,3,3,3,3,,,,,,,,heath; banksess; 3 bankattes; hi sev,,,,,,,,,,,,,,,,,,,,,,,,,,520.6512726,567.880036,0.089711542,-0.478168522,1895.974277
-31.562994,115.683379,16-Jan-20,11-Dec-19,SWC_057,Yanch05_plot4,WF,Hi,CB,2.875,2.833333333,3,,,,593.68732,774.41162,0.30341,-0.471,YanchepNP,2005,veg,plot4,,JBF,hi,100,3,NA,3,NA,1.5,2.5,35,3,3,3,3,3,20,3,3,3,3,3,15,3,3,3,3,3,3,0,,,,,,,high severity; tag melted; 100% canopy consumed; significant branch loss.,,,,,,,,,,,,,,,,,,,,,,,,,,513.6797197,564.6207536,0.098139306,-0.466481429,1802.334289
-31.562775,115.683626,16-Jan-20,11-Dec-19,SWC_057,Yanch05_CBI2,WF,Hi,CB,2.75,2.75,,,,,573.11017,731.30414,0.27503,-0.45628,YanchepNP,2005,CBI,CBI2,,JBF,hi,100,3,NA,3,NA,1.5,2.5,5,3,2,3,3,2.75,65,3,3,3,3,3,,,,,,,,,,,,,,,"ridge heath; Melaleuca, haketrif, banksess; looks pretty hot; 100% canopy consumed, some branch loss.",,,,,,,,,,,,,,,,,,,,,,,,,,490.0479123,529.9354713,0.080349953,-0.449585533,1869.520257
-31.561818,115.683535,16-Jan-20,11-Dec-19,SWC_057,Yanch05_CBI1,WF,Hi,CB,2.85,2.833333333,2.9,,,,559.73126,676.38977,0.20742,-0.46897,YanchepNP,2005,CBI,CBI1,,JBF,hi,100,3,NA,3,NA,1.5,2.5,50,3,3,3,3,3,10,3,3,3,3,3,25,3,2.5,3,3,3,2.9,0,,,,,,,high severity; scorch = max height; 100% canopy consumed.,,,,,,,,,,,,,,,,,,,,,,,,,,472.8674207,485.7065229,0.026059255,-0.459647275,3008.797365
-31.560601,115.682091,18-Jan-20,11-Dec-19,SWC_057,Yanch02_plot4,WF,Hi,CB,3,3,3,,,,556.92029,717.93335,0.28811,-0.42982,YanchepNP,2002,veg,plot4,,JBF,mod hi,100,3,NA,3,2,2,2.5,40,3,3,5,3,3.5,20,3,3,3,3,3,25,3,3,3,3,3,3,,,,,,,,"tag intact; 80% canopy concumed; Acacia, allofras, bankatte",,,,,,,,,,,,,,,,,,,,,,,,,,469.3441783,504.28899,0.072955519,-0.431333481,1867.02619
-31.561299,115.682693,18-Jan-20,11-Dec-19,SWC_057,Yanch02_plot1,WF,Hi,CB,2.958333333,2.944444444,3,,,,550.13953,691.17297,0.25536,-0.43581,YanchepNP,2002,veg,plot1,,JBF,very hi,100,3,NA,3,NA,2.5,2.833333333,35,3,3,3,3,3,20,3,3,3,3,3,25,3,3,3,3,3,3,,,,,,,,very hi severity; extreme torching; canopy consumption; tag melted,,,,,,,,,,,,,,,,,,,,,,,,,,462.330192,490.378146,0.059017095,-0.431361056,2018.562472
-31.562552,115.682911,16-Jan-20,11-Dec-19,SWC_057,Yanch05_plot3,WF,Hi,CB,2.908333333,2.944444444,2.8,,,,546.74677,663.74591,0.21299,-0.45075,YanchepNP,2005,veg,plot3,,JBF,hi,100,3,NA,3,NA,2.5,2.833333333,40,3,3,3,3,3,30,3,3,3,3,3,10,3,2.5,2.5,3,3,2.8,0,,,,,,,high severity; plot tag melted; 90% canopy consumed,,,,,,,,,,,,,,,,,,,,,,,,,,463.5187522,479.1861374,0.032786466,-0.446399663,2646.40888
-31.561488,115.681701,18-Jan-20,11-Dec-19,SWC_057,Yanch02_plot6,WF,Hi,CB,2.916666667,2.888888889,3,,,,535.53625,634.03571,0.18293,-0.45111,YanchepNP,2002,veg,plot6,,JBF,hi,100,3,NA,3,NA,2,2.666666667,40,3,3,3,3,3,15,3,3,3,3,3,10,3,3,3,3,3,3,,,,,,,,tag melted; 100% canopy consumed,,,,,,,,,,,,,,,,,,,,,,,,,,452.8097555,451.2333724,-0.004559536,-0.455792908,6682.529265
