ID,Burn_ID,Site,Lat,Long,drop_outli,OzCBI_full,Severity_class,Phys_veg_type
183,DON081,HKL8,-34.45752,115.87884,Yes,0,U,1
364,FRK050,LHU1,-34.678428,116.600215,No,0,U,1
370,FRK050,LJU1,-34.686626,116.577208,No,0,U,1
401,FRK050,LKU1,-34.682307,116.593424,No,0,U,1
402,FRK050,LKU5,-34.673253,116.637241,No,0,U,1
352,FRK050,LHL3,-34.692475,116.70434,No,0.65,L,1
386,FRK050,LKL7b,-34.711619,116.675653,No,1.01,L,1
149,DON079,EJL3,-34.191778,115.855167,No,1.02,L,1
355,FRK050,LHL7,-34.673136,116.625481,No,1.03,L,1
374,FRK050,LKL1,-34.627437,116.601728,No,1.04,L,1
356,FRK050,LHL9,-34.676521,116.609434,No,1.13,L,1
177,DON081,HKL10,-34.44751,115.88588,No,1.15,L,1
362,FRK050,LHM8,-34.676293,116.612471,No,1.17,L,1
383,FRK050,LKL5,-34.672989,116.638422,No,1.25,L,1
150,DON079,EJL6,-34.201611,115.845694,No,1.31,L,1
176,DON081,HKL1,-34.45994,115.90248,No,1.32,L,1
182,DON081,HKL7,-34.46358,115.88062,No,1.33,L,1
179,DON081,HKL3,-34.4733,115.89909,No,1.36,L,1
195,DON081,HKU2,-34.47013,115.88676,No,1.37,L,1
194,DON081,HKU1,-34.474,115.89974,No,1.41,L,1
196,DON081,HKU4,-34.4644,115.88189,No,1.45,L,1
148,DON079,EJL2b,-34.177722,115.84425,No,1.46,L,1
184,DON081,HKL9,-34.45181,115.88101,No,1.48,L,1
181,DON081,HKL5,-34.4706,115.8885,No,1.56,M,1
361,FRK050,LHM7,-34.672826,116.625463,No,1.57,M,1
382,FRK050,LKL2b,-34.677892,116.599438,No,1.58,M,1
351,FRK050,LHL11,-34.703036,116.655902,No,1.6,M,1
358,FRK050,LHM3,-34.692221,116.704233,No,1.61,M,1
147,DON079,EJL1,-34.197583,115.860278,No,1.64,M,1
166,DON079,EKU1b,-34.179583,115.844806,No,1.67,M,1
375,FRK050,LKL11,-34.676959,116.612295,No,1.7,M,1
376,FRK050,LKL11b,-34.677692,116.611833,No,1.7,M,1
363,FRK050,LHM9,-34.675098,116.60991,No,1.73,M,1
154,DON079,EJM2b,-34.178139,115.84925,No,1.78,M,1
180,DON081,HKL4,-34.47835,115.89314,No,1.79,M,1
151,DON079,EJL7,-34.183944,115.820556,No,1.8,M,1
157,DON079,EJM4,-34.191028,115.835611,No,1.86,M,1
159,DON079,EJM7,-34.184944,115.825722,No,1.86,M,1
385,FRK050,LKL7,-34.711472,116.670873,No,1.88,M,1
191,DON081,HKM5,-34.47026,115.89014,No,1.9,M,1
186,DON081,HKM10,-34.44671,115.88661,No,1.93,M,1
178,DON081,HKL2,-34.46772,115.90675,No,1.93,M,1
185,DON081,HKM1,-34.46069,115.90163,No,1.93,M,1
163,DON079,EKL4,-34.191583,115.843861,No,1.98,M,1
367,FRK050,LJL2,-34.67338,116.609044,No,2,M,1
