ID,Burn_ID,Site,Lat,Long,drop_outli,OzCBI_full,Severity_class,Phys_veg_type,,,,
1,ALB040,LFH1,-34.871168,118.245118,No,1.37,NS,7,,,,
2,ALB040,LFH2,-34.871739,118.244054,No,1.41,NS,7,,,,
3,ALB040,LFL1,-34.871702,118.245639,No,0.91,NS,7,,,,
4,ALB040,LFL2,-34.872047,118.244198,No,1.07,NS,7,,,,
5,ALB040,LFM1,-34.871621,118.24537,No,1.24,NS,7,,,,
6,ALB040,LFM2,-34.8722,118.243783,No,0.95,NS,7,,,,
7,ALB040,LFWH10,-34.878487,118.238691,No,1.02,NS,7,,,,
8,ALB040,LFWH2,-34.871035,118.248795,No,1.16,PS,17,,,,
9,ALB040,LFWH3,-34.87647,118.23218,No,1.45,NS,7,,,,
10,ALB040,LFWH4,-34.87896,118.22741,No,1.25,NS,7,,,,
11,ALB040,LFWH5,-34.88282,118.2249,No,1.49,NS,7,,,,
12,ALB040,LFWH6,-34.88823,118.22464,No,1.27,NS,7,,,,
13,ALB040,LFWH7,-34.89259,118.2247,No,1.61,PS,7,,,,
14,ALB040,LFWH8,-34.89782,118.222,No,1.73,PS,7,,,,
15,ALB040,LFWH9,-34.884758,118.236096,No,1.41,NS,7,,,,
16,ALB040,LFWL1,-34.873776,118.248125,No,1.04,PS,17,,,,
17,ALB040,LFWL10,-34.879378,118.237766,No,1.21,NS,7,,,,
18,ALB040,LFWL2,-34.871661,118.249131,No,1.14,PS,17,,,,
19,ALB040,LFWL3,-34.87679,118.23225,No,0.98,NS,7,,,,
20,ALB040,LFWL4,-34.87811,118.22579,No,0.81,U,7,,,,
21,ALB040,LFWL5,-34.88297,118.22545,No,0.95,NS,7,,,,
22,ALB040,LFWL6,-34.88983,118.22386,No,0.79,U,7,,,,
23,ALB040,LFWL7,-34.89318,118.22521,No,1.15,NS,7,,,,
24,ALB040,LFWL8,-34.89751,118.22269,No,1.24,NS,7,,,,
25,ALB040,LFWM1,-34.872444,118.249067,No,1.24,PS,17,,,,
26,ALB040,LFWM10,-34.878791,118.238377,No,1.24,NS,7,,,,
27,ALB040,LFWM2,-34.87145,118.249361,No,0.92,U,17,,,,
28,ALB040,LFWM3,-34.87676,118.23196,No,1.50,NS,7,,,,
29,ALB040,LFWM4,-34.87787,118.22731,No,1.07,NS,7,,,,
30,ALB040,LFWM5,-34.88227,118.22473,No,1.29,NS,7,,,,
31,ALB040,LFWM6,-34.88894,118.22474,No,1.29,NS,7,,,,
32,ALB040,LFWM7,-34.89246,118.22418,No,1.31,NS,7,,,,
33,ALB040,LFWM8,-34.89721,118.22081,No,1.70,PS,7,,,,
34,ALB040,LFWM9,-34.884117,118.236592,No,1.17,NS,7,,,,
35,ALB040,LFWU8,-34.89732,118.22329,Yes,0.00,U,7,,,,
36,ALB040,MTSH1,-34.89001,118.23225,No,1.68,PS,7,,,,
37,ALB040,MTSL1,-34.88871,118.23304,No,1.39,NS,7,,,,
38,ALB040,MTSM1,-34.88965,118.23289,No,1.50,NS,7,,,,
39,DON051,GExJ6,-34.12778,115.93475,No,1.66,PS,2,,,,
40,DON051,GExJU11,-34.15953,115.95394,Yes,0.00,U,2,,,,
41,DON051,GExK10,-34.15976,115.95334,No,1.46,NS,2,,,,
42,DON051,GExM1,-34.19825,115.90242,No,2.05,PS,2,,,,
43,DON051,GExU,-34.15665,115.93497,Yes,0.00,U,2,,,,
44,DON051,GJEx12,-34.15733,115.95184,No,1.59,PS,2,,,,
45,DON051,GJEx8,-34.16185,115.95126,No,1.16,NS,2,,,,
46,DON051,GJEx9,-34.16286,115.95251,No,0.90,NS,2,,,,
47,DON051,GJH1,-34.16484,115.95255,No,2.22,CS,2,,,,
48,DON051,GJH3,-34.19813,115.90877,No,2.37,CS,2,,,,
49,DON051,GJH4,-34.16712,115.88987,No,2.50,CS,2,,,,
50,DON051,GJH9,-34.13959,115.97397,No,2.13,CS,2,,,,
51,DON051,GJHa,-34.19765,115.89437,No,2.47,CS,2,,,,
52,DON051,GJL1,-34.16708,115.951,No,1.33,NS,2,,,,
53,DON051,GJL3,-34.20098,115.91468,No,1.30,NS,2,,,,
54,DON051,GJL4,-34.17057,115.88876,No,2.02,PS,2,,,,
55,DON051,GJL5,-34.1514,115.89487,Yes,1.05,NS,2,,,,
56,DON051,GJL9,-34.13981,115.97298,No,1.27,NS,2,,,,
57,DON051,GJLa,-34.19682,115.89602,No,1.24,NS,2,,,,
58,DON051,GJM1,-34.1651,115.95291,No,2.01,PS,2,,,,
59,DON051,GJM3,-34.19841,115.90673,No,1.85,PS,2,,,,
