"","id","Veg.Type","BURNID","OzCBI","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax","RBRmax","Severity_class","predict","dif"
"1","SWC046-MBWcbi2","Dandaragan Plateau","SWC046",1.1,0.0878623188405797,2,-6.5,0.0682650682650683,0.0132247143461701,0.0791769515077904,"M","L",-1
"2","SWC046-MBWcbi1","Dandaragan Plateau","SWC046",2.2,0.241298356639788,14,-21.5,0.205980066445183,0.0906099334200658,0.209913213672738,"VH","VH",-1
"3","SWC046-MogumberRd1990veg1","Dandaragan Plateau","SWC046",1.65625,0.148936170212766,2,-9,0.0941860465116279,0.0609022556390978,0.129516901955705,"H","M",-1
"4","SWC046-MogumberRd1990veg2","Dandaragan Plateau","SWC046",1.114583333,0.104166666666667,2,-8,0.04673721340388,0.046644844517185,0.0942542602925652,"M","L",-1
"5","SWC046-MogumberRd1990veg3","Dandaragan Plateau","SWC046",1.433333333,0.127625364284996,-1,-6.5,0.0714285714285714,0.0314477468839885,0.114024563404885,"H","M",-1
"6","SWC046-MogumberRd1990veg4","Dandaragan Plateau","SWC046",1.058333333,0.147706573936082,0,-13,0.0962199312714777,0.0547667342799188,0.130446755275891,"M","M",0
"7","SWC046-MogumberRd1990veg5","Dandaragan Plateau","SWC046",1.867708333,0.192037470725995,2,-17.5,0.106449292735555,0.106379453189727,0.167885886734353,"H","M",-1
"8","SWC046-MogumberRd1990veg6","Dandaragan Plateau","SWC046",1.672916667,0.182104351932006,1,-20,0.132607151314232,0.0620629370629371,0.163409920140287,"H","M",-1
"9","SWC046-MogumberRd1990veg7","Dandaragan Plateau","SWC046",1.460416667,0.209401709401709,3,-10,0.124289083090581,0.0606361380554929,0.179333465088532,"H","M",-1
"10","SWC046-MogumberRd1990cbi1","Dandaragan Plateau","SWC046",2.09375,0.211014851485149,1,-19,0.148837209302326,0.104865375531412,0.183568616980043,"VH","M",-2
"11","SWC046-MogumberRd1990cbi2","Dandaragan Plateau","SWC046",1.102083333,0.108695652173913,0,-6.5,0.0407247073913741,0.0214841825170001,0.0979508678446891,"M","L",-1
"12","SWC046-RedGully1978_CBI1","Dandaragan Plateau","SWC046",2.576041667,0.461904761904762,5,-24.5,0.247247247247247,0.210543407663997,0.365747897892236,"VH","VH",-1
"13","SWC046-RedGully1978_CBI2","Dandaragan Plateau","SWC046",1.620833333,0.249095022624434,2,-15.5,0.159502469361624,0.0953945505013312,0.215864575858459,"H","M",-1
"14","SWC046-RedGully1978_CBI3","Dandaragan Plateau","SWC046",1.367708333,0.236633976589687,0,-18,0.164092664092664,0.0982448630136986,0.201662855831818,"M","M",0
"15","SWC046-RedGully1978_plot1","Dandaragan Plateau","SWC046",1.841666667,0.326330532212885,-1,-30.5,0.189805499664655,0.126492252984506,0.279472337036442,"H","VH",0
"16","SWC046-RedGully1978_plot2","Dandaragan Plateau","SWC046",2.429166667,0.463617463617464,5,-24,0.24695652173913,0.222222222222222,0.368708193092867,"VH","VH",-1
"17","SWC046-RedGully1978_plot3","Dandaragan Plateau","SWC046",2.56875,0.403512195121951,-1,-35,0.236036911121904,0.168951612903226,0.330608900701425,"VH","VH",-1
"18","SWC046-RedGully1978_plot4","Dandaragan Plateau","SWC046",2.385416667,0.297566103339533,-15,-40.5,0.225974025974026,0.0916919959473151,0.257048453703373,"VH","VH",-1
"19","SWC046-RedGully1978_plot5","Dandaragan Plateau","SWC046",2.254166667,0.329755259768141,-5,-28,0.228888888888889,0.120431893687708,0.280053924966698,"VH","VH",-1
"20","SWC046-RedGully1978_plot6","Dandaragan Plateau","SWC046",2.460416667,0.459623618440705,4,-27,0.253925826929502,0.218077474892396,0.366522490037552,"VH","VH",-1
"21","SWC046-RedGully1978_plot7","Dandaragan Plateau","SWC046",2.551041667,0.328549167555155,-5,-36,0.186923076923077,0.110031239153072,0.286425333898939,"VH","VH",-1
"22","SWC046-RedGully2004_CBI1","Dandaragan Plateau","SWC046",2.575,0.365632351293828,0,-24.5,0.216362407031778,0.168115942028985,0.300637556096675,"VH","VH",-1
"23","SWC046-RedGully2004_CBI2","Dandaragan Plateau","SWC046",0.447916667,0.090347923681257,0,-6,0.0462745098039216,0.0261629683966013,0.0794754815671183,"L","L",0
"24","SWC046-RedGully2004_CBI3","Dandaragan Plateau","SWC046",0,0.0160688665710187,-1,-6,0.0398009950248757,0.0146627565982405,0.0143094965229201,"U","U",0
"25","SWC046-RedGully2004_CBI4","Dandaragan Plateau","SWC046",1.214583333,0.220957482423837,2,-11,0.135,0.094474539544962,0.188303123520858,"M","M",0
"26","SWC046-RedGully2004_plot1","Dandaragan Plateau","SWC046",2.1875,0.309299895506792,3,-16.5,0.2085140562249,0.146029750680913,0.253651162810626,"VH","VH",-1
"27","SWC046-RedGully2004_plot2","Dandaragan Plateau","SWC046",2.079166667,0.298985454100966,3,-14,0.169755374351371,0.143250688705234,0.246916546346165,"VH","VH",-1
"28","SWC046-RedGully2004_plot4","Dandaragan Plateau","SWC046",2.320833333,0.295728368017525,4,-17,0.203631427116918,0.138129496402878,0.245250987135223,"VH","VH",-1
"29","SWC046-RedGully2004_plot6","Dandaragan Plateau","SWC046",1.520833333,0.306030389363723,2,-15.5,0.179220779220779,0.143250688705234,0.252734592209108,"H","VH",0
"30","SWC046-RedGully2004_plot7","Dandaragan Plateau","SWC046",2.155208333,0.33596681809204,-3,-24,0.211111111111111,0.139784946236559,0.278621203417557,"VH","VH",-1
"31","SWC046-ub161","Dandaragan Plateau","SWC046",0,0.0731707317073171,3,-5.5,0.0602898550724638,0.0423551009703645,0.0611733039701474,"U","U",0
"32","SWC046-ub162","Dandaragan Plateau","SWC046",0,0.0511033681765389,3,-4.5,0.106990622335891,0.0200415957647949,0.0445406793060967,"U","U",0
"33","SWC046-ub163","Dandaragan Plateau","SWC046",0,0.0821678321678322,12,-5,0.06,0.0458655626974616,0.0708287872303232,"U","L",1
"34","SWC046-ub164","Dandaragan Plateau","SWC046",0,0.0666666666666667,1,-4.5,0.132735808792147,0.0457959333211211,0.0475850582916964,"U","U",0
"35","SWC046-ub165","Dandaragan Plateau","SWC046",0,0.0512684989429175,3,-7,0.055198973042362,0.0455486542443064,0.0407924329616316,"U","U",0
"36","SWC046-ub166","Dandaragan Plateau","SWC046",0,0.0371755903670797,3,-8,0.0909090909090909,0.0462171899125065,0.0318875184832291,"U","U",0
"37","SWC046-ub167","Dandaragan Plateau","SWC046",0,0.0712121212121212,4,-8,0.0782811459027315,0.0725274725274725,0.0590704572304753,"U","U",0
"38","SWC046-ub168","Dandaragan Plateau","SWC046",0,0.0893525949705725,5,-9,0.0878117316473481,0.0825396825396825,0.0749931854994614,"U","L",1
"39","SWC046-ub169","Dandaragan Plateau","SWC046",0,0.0880382775119617,4,-9.5,0.110039705048213,0.0854700854700855,0.074612037679079,"U","L",1
"40","SWC046-ub170","Dandaragan Plateau","SWC046",0,-0.0489159175039662,1,-5,0.0335230866540164,-0.0313447927199191,-0.0505218497441956,"U","U",0
"41","SWC058-CBWcbi4","Dandaragan Plateau","SWC058",0.5,0.0847257383966245,1,-4,0.0307692307692308,0.0577500577500578,0.0721479464064358,"L","U",-1
"42","SWC058-CBWcbi3","Dandaragan Plateau","SWC058",1,0.148148148148148,6,1.5,0.0813186813186813,0.0389565217391304,0.127549664650673,"M","H",2
"43","SWC058-CBWcbi1","Dandaragan Plateau","SWC058",1.3,0.2076209086468,11,4,0.120711796000734,0.0532784328404766,0.176711723305199,"M","H",2
"44","SWC058-CBWcbi2","Dandaragan Plateau","SWC058",2.1,0.264227642276423,12,4.5,0.204861111111111,0.0412433205388726,0.226286876057456,"VH","VH",-1
"45","SWC058-CBWcbi5","Dandaragan Plateau","SWC058",2.8,0.330172110994029,15,2,0.324973876698015,0.0415657788539145,0.279691399221684,"VH","VH",-1
"46","SWC058-CullallaRd2001cbi1","Dandaragan Plateau","SWC058",1.145833333,0.2076209086468,11,4,0.120711796000734,0.0532784328404766,0.176711723305199,"M","H",2
"47","SWC058-Cullalla2001_b2","Dandaragan Plateau","SWC058",2.234375,0.264227642276423,12,4.5,0.204861111111111,0.0412433205388726,0.226286876057456,"VH","VH",-1
"48","SWC058-CullallaRd2001veg1","Dandaragan Plateau","SWC058",1.390625,0.256774193548387,16,5,0.135083226632522,0.101333333333333,0.221166402711789,"M","H",2
"49","SWC058-CullallaRd2001veg2","Dandaragan Plateau","SWC058",2.109375,0.266798418972332,14,5,0.199134199134199,0.0351466597751648,0.235805388939155,"VH","VH",-1
"50","SWC058-CullallaRd2001veg3","Dandaragan Plateau","SWC058",2.447916667,0.279650436953808,13,4.5,0.228855721393035,0.0563950350782515,0.251459080086349,"VH","VH",-1
"51","SWC058-CullallaRd2001veg4","Dandaragan Plateau","SWC058",2.369791667,0.306064306064306,18,3,0.260138050043141,0.0534005785062671,0.272813978233653,"VH","VH",-1
"52","SWC058-CullallaRd2001veg5","Dandaragan Plateau","SWC058",2.46875,0.323672883787661,15,7,0.24569155987627,0.0555555555555556,0.280493399826184,"VH","VH",-1
"53","SWC058-CullallaRd2001veg6","Dandaragan Plateau","SWC058",2.416666667,0.308898944193062,16,3,0.267366913344474,0.0391006842619746,0.273262322489569,"VH","VH",-1
"54","SWC058-CullallaRd2001veg7","Dandaragan Plateau","SWC058",2.520833333,0.276955602536998,13,5.5,0.238145416227608,0.0476610767872904,0.25364346248497,"VH","VH",-1
"55","SWC058-CullallaRd2001cbi3","Dandaragan Plateau","SWC058",0.984375,0.148148148148148,6,1.5,0.0813186813186813,0.0389565217391304,0.127549664650673,"M","H",2
"56","SWC058-CullallaRd2001cbi4","Dandaragan Plateau","SWC058",0.08125,0.0847257383966245,1,-4,0.0307692307692308,0.0577500577500578,0.0721479464064358,"L","U",-1
"57","SWC058-ub171","Dandaragan Plateau","SWC058",0,0.0643189043775984,-1,-4.5,0.0080971659919028,0.0354178195904815,0.0559088061471626,"U","U",0
"58","SWC058-ub172","Dandaragan Plateau","SWC058",0,0.0232558139534884,1,1.5,-0.00964692263168049,-0.00190839694656486,0.020390269763269,"U","U",0
"59","SWC058-ub173","Dandaragan Plateau","SWC058",0,0.0694738492903631,-1,-3,-0.0196078431372549,0.034996534996535,0.05483096375073,"U","U",0
"60","SWC058-ub174","Dandaragan Plateau","SWC058",0,0.00553709856035436,-1,1.5,0.00280800280800281,-0.0226031746031746,0.00446866260971683,"U","U",0
"61","SWC058-ub175","Dandaragan Plateau","SWC058",0,0.0459952418715305,-1,-2.5,-0.00922761449077236,0.0157004830917875,0.0426702450817025,"U","U",0
"62","SWC058-ub176","Dandaragan Plateau","SWC058",0,-0.00145787774653754,1,2.5,0.00873230954531767,-0.024430921794005,-0.00136033230197472,"U","U",0
"63","SWC058-ub177","Dandaragan Plateau","SWC058",0,0.0528817587641117,1,-2.5,0.00820793433652528,0.0341587595464013,0.0467024158792412,"U","U",0
"64","SWC058-ub178","Dandaragan Plateau","SWC058",0,0.0340875697913605,2,2.5,-0.0111111111111111,0.000516328901510238,0.0282692194746653,"U","U",0
"65","SWC058-ub179","Dandaragan Plateau","SWC058",0,0.0890449438202247,-2,-6,-0.0152380952380952,0.0662882494943564,0.0671530496381785,"U","U",0
