"","id","Veg.Type","BURNID","OzCBI","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax","RBRmax","Severity_class","predict","dif"
"1","PHS136-ChuB1","Northern Jarrah Forest","PHS136",2,0.0713213213213213,1,-3.5,0.0255292652552926,0.0723039215686274,0.0434915571442436,"M","U",-2
"2","PHS136-ChuB7","Northern Jarrah Forest","PHS136",2.1,0.344322344322344,18,-10,0.145590994371482,0.289288983826671,0.225813348451617,"H","H",0
"3","PHS136-ChuB3","Northern Jarrah Forest","PHS136",2.2,0.47887323943662,17,-17,0.219762845849802,0.45652841781874,0.31460798919229,"H","H",0
"4","PHS136-ChuB3OP","Northern Jarrah Forest","PHS136",2.2,0.311688311688312,13,-11,0.102024291497976,0.27012987012987,0.199871748961083,"H","H",0
"5","PHS136-ChuB5","Northern Jarrah Forest","PHS136",2.3,0.417105263157895,20,-15,0.240384615384615,0.386833855799373,0.264660699973283,"H","H",0
"6","PHS136-ChuB2OP","Northern Jarrah Forest","PHS136",2.3,0.21431290445375,10,-5.5,0.0873482177830004,0.18,0.134315386364292,"H","U",-3
"7","PHS136-ChuB2","Northern Jarrah Forest","PHS136",2.4,0.281702898550725,13,-9,0.0942028985507246,0.273255813953488,0.176593772996938,"H","H",0
"8","PHS136-ChuB6","Northern Jarrah Forest","PHS136",2.4,0.318213344430573,19,-9,0.179710144927536,0.264470588235294,0.208106369025571,"H","H",0
"9","PHS136-ChuB5OP","Northern Jarrah Forest","PHS136",2.4,0.308677098150782,13,-11,0.150724637681159,0.297965915338098,0.195371760047465,"H","H",0
"10","PHS136-ChuB6OP","Northern Jarrah Forest","PHS136",2.4,0.36389181594661,17,-9.5,0.202404371584699,0.288190314358539,0.244521456639808,"H","H",0
"11","PHS136-ChuB7OP","Northern Jarrah Forest","PHS136",2.4,0.339598997493734,19,-9,0.176360225140713,0.266563944530046,0.222715684937023,"H","H",0
"12","PHS136-ChuB1OP","Northern Jarrah Forest","PHS136",2.6,0.188427864484203,9,-7,0.0833976833976834,0.177735849056604,0.122233479774804,"VH","U",-4
"13","PHS136-ub117","Northern Jarrah Forest","PHS136",0,0.0650363516192993,6,-4.5,0.0445269016697588,0.0847457627118644,0.0401712503669096,"U","U",0
