"","id","Veg.Type","BURNID","OzCBI","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax","RBRmax","Severity_class","predict","dif"
"1","SWC065-TAMUB_CBI1","Perth","SWC065",1.72,0.250484842298663,15,-5,0.126506024096386,0.167016491754123,0.175564146481738,"H","H",0
"2","SWC065-TAMUB_plot3","Perth","SWC065",1.395,0.217821782178218,11,-7,0.138874680306905,0.11011655011655,0.164055450742351,"M","M",0
"3","SWC065-TAMUB_plot5","Perth","SWC065",1.87,0.311389071757735,18,-6,0.175324675324675,0.207088331515812,0.220974445917088,"H","VH",1
"4","SWC065-TAMUB_plot6","Perth","SWC065",1.495,0.216998807698859,5,-10,0.119298245614035,0.117145808228611,0.161842083032103,"H","M",-1
"5","SWC048-CaraE08_plot1","Perth","SWC048",1.20625,0.227722772277228,1,-15.5,0.148360467782619,0.107741760582472,0.185332914319788,"M","M",0
"6","SWC048-CoppinoRd_plot3","Perth","SWC048",1.836458333,0.275213675213675,0,-22.5,0.187886597938144,0.147715965626413,0.217102557360249,"H","VH",1
"7","SWC048-CoppinoRd_plot4","Perth","SWC048",1.61875,0.263859874658525,1,-22.5,0.187428045130094,0.134404388714734,0.215309728026574,"H","VH",1
"8","SWC048-CoppinoRd_plot6","Perth","SWC048",2.5375,0.313969240576938,0,-35,0.216966466799911,0.134408602150538,0.253824291358333,"VH","VH",0
"9","SWC048-CoppinoRd_plot7","Perth","SWC048",2.539583333,0.331868131868132,0,-35,0.246492553421109,0.167258943378346,0.260140751651722,"VH","VH",0
"10","SWC010-MooreRiverNR1996cbi1","Perth","SWC010",2.766666667,0.263063063063063,15,6,0.138808559861191,0.0768675568386864,0.247225067944561,"VH","H",-1
"11","SWC010-MooreRiverNR1996veg1","Perth","SWC010",2.291666667,0.202576408183885,9,-1,0.131934032983508,0.0656161198656678,0.180469711804272,"VH","H",-1
"12","SWC010-MooreRiverNR1996veg2","Perth","SWC010",0,-0.015470408346825,3,6.5,-0.00391006842619745,-0.0296232876712329,-0.0142772736184704,"U","U",0
"13","SWC010-MooreRiverNR1996veg3","Perth","SWC010",2.541666667,0.218832891246684,6,-5.5,0.149642492339122,0.0698245614035088,0.196019264535719,"VH","H",-1
"14","SWC010-MooreRiverNR1996veg4","Perth","SWC010",1.3125,0.231919191919192,11,-2.5,0.157466063348416,0.10337031389663,0.194413161838796,"M","H",1
"15","SWC010-MooreRiverNR1996veg5","Perth","SWC010",1.583333333,0.0957767722473605,6,1,0.0800865800865801,0.030322051083965,0.0857919134028586,"H","M",-1
"16","SWC010-MooreRiverNR1996veg7","Perth","SWC010",1.171875,0.108404802744425,8,3.5,0.0779904306220096,0.0253587491968302,0.0960803182812569,"M","M",0
"17","SWC010-MooreRiverNR1996tree11","Perth","SWC010",2,0.14450035945363,6,-1.5,0.121041879468846,0.0394947518235189,0.125125203017198,"H","H",0
"18","SWC010-MooreRiverNR1996tree13","Perth","SWC010",1.536458333,0.234042553191489,10,-4,0.183864915572233,0.102529281955525,0.189501610763692,"H","H",0
"19","SWC010-MooreRiverNR2008veg2","Perth","SWC010",2.03125,0.210602642603932,7,-7.5,0.165030388031791,0.0903225806451613,0.181573019721858,"VH","H",-1
"20","SWC010-MooreRiverNR2008veg3","Perth","SWC010",1.260416667,0.108128688368551,5,-0.5,0.10077519379845,0.0269531792710601,0.0949951440422408,"M","M",0
"21","SWC010-MooreRiverNR2008veg4","Perth","SWC010",1.09375,0.121121121121121,5,-0.5,0.0942028985507246,0.0247082460565126,0.105400788676645,"M","M",0
"22","SWC010-MooreRiverNR2008veg5","Perth","SWC010",0.828125,0.115175789942145,5,-1,0.0971285892634207,0.0302177858439202,0.0990414638542667,"M","M",0
"23","SWC010-MooreRiverNR2008cbi1","Perth","SWC010",1.03125,0.0541579315164221,4,2,0.0451880801172447,0.00654107796964939,0.0479006830328364,"M","U",-2
"24","SWC010-MooreRiverNR2008cbi2","Perth","SWC010",0.854166667,0.0969855832241153,7,2.5,0.0668403761187266,0.0255209174608302,0.0847881956499072,"M","U",-2
"25","SWC010-MooreRiverNR2008cbi3","Perth","SWC010",0,-0.0227450980392157,0,3,0,-0.0322222222222222,-0.0199824292432516,"U","U",0
"26","SWC038-BanksiaTrk1965veg1","Perth","SWC038",1.9,0.191117956616609,2,-27,0.1501554001554,0.0423969072164949,0.177541088122978,"H","VH",1
"27","SWC038-BanksiaTrk1965veg3","Perth","SWC038",2.004166667,0.18802041364491,1,-26.5,0.115135341212352,0.0290491471035298,0.17418468503552,"VH","H",-1
"28","SWC038-BanksiaTrk1965veg4","Perth","SWC038",1.751041667,0.20993265993266,-2,-26.5,0.118302513039355,0.0299352087263184,0.188341836657635,"H","VH",1
"29","SWC038-BanksiaTrk1965veg5","Perth","SWC038",1.784375,0.249028871391076,-1,-35,0.133218982275586,0.087719298245614,0.216987108386067,"H","VH",1
"30","SWC038-BanksiaTrk1965veg6","Perth","SWC038",1.901041667,0.28547071002314,-4,-32,0.102822580645161,0.106810387065164,0.246006306955209,"H","VH",1
"31","SWC038-BanksiaTrk1965veg7","Perth","SWC038",2.189583333,0.287234042553191,-4,-46.5,0.19047619047619,0.133779264214047,0.245989759537418,"VH","VH",0
"32","SWC038-BanksiaTrk1965cbi1","Perth","SWC038",2.655208333,0.259784075573549,-1,-45.5,0.156186612576065,0.0598639455782313,0.230059241748641,"VH","VH",0
