"","id","Veg.Type","BURNID","OzCBI","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax","RBRmax","Severity_class","predict","dif"
"1","FRK035-QHU1","Warren","FRK035",0.1,0.0307162716801271,-4,0,-0.0647773279352227,-0.0194672131147541,0.0227460948533725,"L","U",-1
"2","FRK035-QHLM1","Warren","FRK035",0.7,0.195792493425771,6,-5,0.0638528138528138,0.110005783689994,0.152736301614473,"M","H",0
"3","FRK035-QHM3","Warren","FRK035",1.6,-0.0458791208791209,-8,5,-0.0553014553014553,-0.149426819514796,-0.0426385881776216,"H","U",-3
"4","FRK035-QHLM2","Warren","FRK035",1.7,0.112554112554113,8,-3.5,0.0349192492361414,0.127320954907162,0.0687410603572949,"H","U",-3
"5","FRK035-QHLM4","Warren","FRK035",1.7,0.0783783783783784,-1,-2.5,-0.0074534161490683,0.0336927223719677,0.0568215216411623,"H","U",-3
"6","FRK035-QHH2","Warren","FRK035",2.1,0.168674698795181,7,-3.5,0.0407534246575342,0.11864406779661,0.111037967053449,"VH","U",-4
"7","FRK035-QHH4","Warren","FRK035",2.2,0.127379469845223,2,-2.5,-0.00810234541577826,0.0758551855548498,0.0876632253137113,"VH","U",-4
"8","FRK035-QHH3","Warren","FRK035",2.3,0.00522839845899835,-7,2.5,-0.0639269406392694,-0.097784288591833,0.0046894660277804,"VH","U",-4
"9","FRK035-QHH1","Warren","FRK035",2.4,0.255246913580247,11,-4.5,0.038163612318156,0.18951678951679,0.16142128809113,"VH","U",-4
"10","FRK035-QSJL2","Warren","FRK035",0.5,0.0131217941071216,-13,-6.5,-0.00506329113924053,-0.0129370629370629,0.00863803138322446,"L","U",-1
"11","FRK035-QSJU2","Warren","FRK035",0.6,0.0375478927203065,4,1,0.0177260767206758,0.0103174603174603,0.0237828865143753,"M","U",-2
"12","FRK035-QSJM2","Warren","FRK035",1.1,0.128573460389703,-2,-7.5,0.0478302185619258,0.0948758111434325,0.0832027078431714,"M","U",-2
"13","FRK035-QSJU1","Warren","FRK035",1.1,0.00582549980140346,-6,1.5,-0.0657969370391379,-0.0528640638358507,0.00371698441392409,"M","U",-2
"14","FRK035-QSJL1","Warren","FRK035",1.2,0.00889526542324248,-2,2,-0.0493827160493827,-0.0353982300884956,0.00560732280181642,"M","U",-2
"15","FRK035-QSJL3","Warren","FRK035",1.3,-0.0227394328517924,-5,1.5,-0.0599607733258616,-0.0448666423090976,-0.0142456397448656,"M","U",-2
"16","FRK035-QSJU3","Warren","FRK035",1.6,0.00137362637362637,-4,2.5,-0.0510457284650833,-0.0540952380952381,0.000844075602163532,"H","U",-3
"17","FRK035-QSJH5","Warren","FRK035",1.6,0.0929393813288944,-1,1.5,-0.0273972602739726,-0.023574041457797,0.072329146411357,"H","U",-3
"18","FRK035-QSJM4","Warren","FRK035",1.7,0.0790391321193336,2,1,-0.00881834215167554,0.00666488936283657,0.0520596613927338,"H","U",-3
"19","FRK035-QSJM3","Warren","FRK035",1.8,0.103181958603645,8,-0.5,0.0207150016705646,0.0838206627680312,0.0648387950311741,"H","U",-3
"20","FRK035-QSJL4","Warren","FRK035",1.8,0.0340782812692925,0,0,-0.0188782489740082,0.00876190476190476,0.0219638568819169,"H","U",-3
"21","FRK035-QSJL5","Warren","FRK035",1.9,0.129032258064516,2,-6.5,0.0614232209737827,0.0863861782114862,0.088174997979323,"H","U",-3
"22","FRK035-QSJM5","Warren","FRK035",2,0.0903629536921152,-2,-5,0.00586600802716891,0.0499198816713916,0.0650451036442375,"H","U",-3
"23","FRK035-QSJH4","Warren","FRK035",2.1,0.0790391321193336,2,1,-0.00881834215167554,0.00666488936283657,0.0520596613927338,"VH","U",-4
"24","FRK035-QSJH3","Warren","FRK035",2.2,0.237012987012987,18,-2.5,0.095952023988006,0.19327731092437,0.146790319077915,"VH","H",-2
"25","FRK035-QSJH1","Warren","FRK035",2.3,0.119680464778504,8,0.5,0.000643500643500605,0.0724789915966386,0.0758685871363153,"VH","U",-4
"26","FRK035-ub107","Warren","FRK035",0,-0.05,-2,3.5,-0.0533333333333333,-0.0655655655655656,-0.0350631136044881,"U","M",1
"27","FRK035-ub108","Warren","FRK035",0,-0.0549515133705554,-3,3.5,-0.0572760572760573,-0.0697138610182089,-0.0381601268303852,"U","M",1
"28","FRK035-ub109","Warren","FRK035",0,-0.0309178743961354,-3,3,-0.049284984678243,-0.0592060696382604,-0.0195834238556702,"U","U",0
"29","FRK035-ub110","Warren","FRK035",0,-0.0344827586206897,-4,2.5,-0.0540906017579446,-0.0601673101673102,-0.02067724882312,"U","U",0
"30","FRK035-ub111","Warren","FRK035",0,-0.048780487804878,-2,4.5,-0.0708860759493671,-0.0771929824561404,-0.0312299932855514,"U","M",1
"31","DON006-GiKL6","Warren","DON006",1.4,0.124417648670869,11,-5,0.143891017454236,0.128898128898129,0.0737773636422877,"M","H",0
"32","DON006-GiKU8","Warren","DON006",1.5,0.112448700410397,4,-5.5,0.13233665559247,0.0803966437833715,0.0672705741977247,"H","H",-1
"33","DON006-GiKU1","Warren","DON006",1.5,0.158205044218801,18,-0.5,0.197518443997317,0.0978857399910031,0.0957563292851999,"H","M",-2
"34","DON006-GiKU10","Warren","DON006",1.5,0.166666666666667,8,-6,0.226773226773227,0.0988706162076481,0.0999400359784129,"H","M",-2
"35","DON006-GiKL2?","Warren","DON006",1.5,0.138486312399356,15,-2,0.182576943140323,0.102906439355037,0.0812377612006564,"H","M",-2
"36","DON006-GiKU2","Warren","DON006",1.6,0.112921348314607,12,-1,0.151149425287356,0.0513897866839043,0.0678645949395296,"H","M",-2
"37","DON006-GiKU5","Warren","DON006",1.6,0.0540098199672667,0,-3,0.0728132387706856,0.0213903743315508,0.0318960459535033,"H","H",-1
"38","DON006-GiKL4","Warren","DON006",1.6,0.110694652673663,9,-4.5,0.129715762273902,0.0994901474438473,0.0660897908131312,"H","H",-1
"39","DON006-GiKL5","Warren","DON006",1.6,0.168060533651932,17,-4,0.147771051183269,0.157467288314032,0.0988635147010281,"H","H",-1
"40","DON006-GiKU4","Warren","DON006",1.7,0.0853566958698373,11,0,0.120879120879121,0.0340269966254218,0.0520690579241548,"H","M",-2
"41","DON006-GiKM8","Warren","DON006",1.8,0.441318814277072,26,-17,0.37373075663282,0.437489943684634,0.262821037067674,"H","VH",0
"42","DON006-GiKM10","Warren","DON006",1.8,0.305633802816901,18,-7,0.39778206364513,0.225,0.190232399119846,"H","H",-1
"43","DON006-GiKM4","Warren","DON006",1.9,0.331807780320366,26,-9.5,0.274491392801252,0.314662756598241,0.198104481669871,"H","VH",0
"44","DON006-GiKL10","Warren","DON006",1.9,0.199713055954089,6,-13,0.258139534883721,0.197892962494732,0.12034266536526,"H","VH",0
"45","DON006-GiKM5","Warren","DON006",1.9,0.386786786786787,28,-12,0.311111111111111,0.380556443875919,0.225912199434167,"H","VH",0
"46","DON006-GiKL8","Warren","DON006",2.1,0.140758154569498,5,-6.5,0.142728093947606,0.114141414141414,0.083589234474434,"VH","H",-2
"47","DON006-GiKH6","Warren","DON006",2.1,0.361111111111111,33,-10,0.338077166350411,0.374603174603175,0.216536744619895,"VH","VH",-1
"48","DON006-GiKH2","Warren","DON006",2.2,0.324888226527571,23,-5.5,0.32406779661017,0.270361990950226,0.198421547487829,"VH","VH",-1
"49","DON006-GiKH8","Warren","DON006",2.3,0.434516523867809,25,-18,0.346218487394958,0.458172458172458,0.255797414212393,"VH","VH",-1
"50","DON006-GiKM6","Warren","DON006",2.3,0.449275362318841,33,-13.5,0.412237762237762,0.444970221098148,0.269403575246157,"VH","VH",-1
"51","DON006-GiKH5","Warren","DON006",2.4,0.386842105263158,18,-16,0.299457504520796,0.384415584415584,0.234307756064905,"VH","VH",-1
"52","DON006-GiKM2","Warren","DON006",2.4,0.329009009009009,13,-10,0.23449920508744,0.26,0.198877095915178,"VH","VH",-1
"53","DON006-GiKL1","Warren","DON006",1.6,0.148749154834347,8,-9,0.150055370985604,0.177128242601388,0.0885854078089647,"H","H",-1
"54","DON006-GiKU9","Warren","DON006",1.7,0.0997770345596433,15,0,0.152597402597403,0.0726574500768049,0.0628336060803274,"H","M",-2
"55","DON006-GiKM1a","Warren","DON006",1.7,0.220080321285141,15,-8,0.240650406504065,0.205972297175751,0.13039888256724,"H","VH",0
"56","DON006-GiKL9","Warren","DON006",1.7,0.20959595959596,21,-3,0.228927203065134,0.162064825930372,0.124550567530417,"H","H",-1
"57","DON006-GiKM9","Warren","DON006",1.8,0.181488203266788,16,-5.5,0.20078431372549,0.174165457184325,0.109582916461655,"H","M",-2
"58","DON006-GiKM1","Warren","DON006",1.8,0.306149732620321,27,-9,0.282289803220036,0.349565217391304,0.184417450239501,"H","VH",0
"59","DON006-GiKH1","Warren","DON006",2.1,0.475935828877005,33,-14,0.419342930970838,0.463980880846705,0.282820707560211,"VH","VH",-1
