"","id","Veg.Type","BURNID","OzCBI","preNBR","preNDVI","preNIR","prei35","preNDWI","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax","RBRmax","Severity_class","predict","dif"
"1","SWC065-TAMUB_CBI1","Perth","SWC065",1.72,0.283866171003717,0.570674913589231,590,1360.5,0.00641100361347476,0.2384448185866,2.5,-159.25,0.147002347217549,0.113112613497413,0.185579497668875,"H","M",-1
"2","SWC065-TAMUB_plot3","Perth","SWC065",1.395,0.140888208269525,0.452418666991592,749,1560,-0.0881970473494989,0.257472773129952,-81,-240.833333333333,0.164343954347914,0.120044306587219,0.225479842304475,"M","H",1
"3","SWC065-TAMUB_plot5","Perth","SWC065",1.87,0.27723418134377,0.548285064742513,571.25,1253.625,0.00564971751412429,0.335074900573622,-95.75,-305.75,0.225426691948711,0.190365724398806,0.262138898696456,"H","H",0
"4","SWC065-TAMUB_plot6","Perth","SWC065",1.495,0.138572694431191,0.42704180430573,838.333333333333,1600.16666666667,-0.0615730337078652,0.215297273435929,-67.6666666666666,-214.208333333333,0.156367609686002,0.111258598945196,0.188928073205012,"H","M",-1
"5","SWC048-CaraE08_plot1","Perth","SWC048",1.20625,0.0926790660862683,0.482284732660511,602.75,1390.875,-0.116076573404187,0.308234049346634,-50.25,-816.625,0.246184316828076,0.150301075921439,0.281832265885503,"M","H",1
"6","SWC048-CoppinoRd_plot3","Perth","SWC048",1.836458333,0.121682178559118,0.547313361864004,476,1216,-0.0918224951158247,0.41431144148541,-55.5,-985.75,0.338634357396869,0.226853001572917,0.369037158866412,"H","VH",1
"7","SWC048-CoppinoRd_plot4","Perth","SWC048",1.61875,0.109587923296614,0.471963628491015,609.75,1340.875,-0.0986942400742361,0.331322209198167,-33,-824.125,0.246729441307064,0.171989378868089,0.298330462854923,"H","H",0
"8","SWC048-CoppinoRd_plot6","Perth","SWC048",2.5375,0.135966445298847,0.523675574308486,508,1218,-0.085280045032367,0.501366331855852,-76,-1232.83333333333,0.3497183006564,0.259681824187169,0.440968450677601,"VH","VH",0
"9","SWC048-CoppinoRd_plot7","Perth","SWC048",2.539583333,0.133408558284871,0.501092079549374,542.5,1238.625,-0.0848051583964115,0.42050377336462,-83.25,-1144.875,0.316279293475989,0.206854129721173,0.370681065735598,"VH","VH",0
"10","SWC010-MooreRiverNR1996cbi1","Perth","SWC010",2.766666667,-0.0698795180722892,0.347382029734971,841.333333333333,1777.16666666667,-0.219325842696629,0.29325999915862,-143.333333333333,-519.666666666667,0.198692730207683,0.10110182618398,0.314953869934727,"VH","VH",0
"11","SWC010-MooreRiverNR1996veg1","Perth","SWC010",2.291666667,-0.0126870242365911,0.340301698539019,925.666666666667,1762.83333333333,-0.160541586073501,0.194325393586638,-355.333333333333,-574.833333333333,0.169653559203338,0.0721957098484724,0.196623335271434,"VH","VH",0
"12","SWC010-MooreRiverNR1996veg2","Perth","SWC010",0,-0.0477735633947951,0.328195718654434,915.333333333333,1778.29166666667,-0.186834172735953,0.0173491392504827,-50,-91.4999999999998,0.0190722037474627,-0.00054896570101895,0.0182004386200927,"U","U",0
"13","SWC010-MooreRiverNR1996veg3","Perth","SWC010",2.541666667,0.0079295154185022,0.380530973451327,770,1572,-0.160880195599022,0.232436738075586,-487,-859.666666666667,0.202719010733021,0.0708434561457789,0.230379560240313,"VH","VH",0
"14","SWC010-MooreRiverNR1996veg4","Perth","SWC010",1.3125,0.0503006305909957,0.445117029862793,687.5,1501.75,-0.127967855838305,0.23280603015903,-208,-359.25,0.188424770057854,0.11218270877901,0.221445724833397,"M","H",1
"15","SWC010-MooreRiverNR1996veg5","Perth","SWC010",1.583333333,0.0473892481420712,0.388256364334144,797,1542,-0.116790103361276,0.217435252572127,-214.666666666667,-479.666666666667,0.167457406453119,0.0951497122025485,0.207399353777674,"H","H",0
"16","SWC010-MooreRiverNR1996veg7","Perth","SWC010",1.171875,0.00266240681576145,0.341287507790936,924.75,1730.875,-0.147963800904977,0.13351623110836,-228,-354.625,0.133215373827862,0.060186598734784,0.133029024701599,"M","M",0
"17","SWC010-MooreRiverNR1996tree11","Perth","SWC010",2,0.0533315239516895,0.402348690153568,827,1638.5,-0.116046008427286,0.200241351712581,-396,-645,0.186951737467121,0.0903329784395056,0.189922569100529,"H","M",-1
"18","SWC010-MooreRiverNR1996tree13","Perth","SWC010",1.536458333,0.106449838950428,0.48159057437408,616,1362.125,-0.0898869143780291,0.235447128923328,-243,-471.75,0.188812846813743,0.111564788581212,0.212602973644811,"H","H",0
"19","SWC010-MooreRiverNR2008veg2","Perth","SWC010",2.03125,0.0406807804068078,0.393035747360622,819.25,1626.375,-0.128252680382498,0.230051441610859,-348,-692.75,0.185109226784937,0.105297650493921,0.220846391656585,"VH","M",-2
"20","SWC010-MooreRiverNR2008veg3","Perth","SWC010",1.260416667,0.0419902214552775,0.407673627974745,762.25,1576.75,-0.137945392897508,0.176861561295561,-220.75,-469.625,0.150650702563056,0.0663218334053955,0.169571638983142,"M","M",0
