"","id","Veg.Type","BURNID","OzCBI","preNBR","preNDVI","preNIR","prei35","preNDWI","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax","RBRmax","Severity_class","predict","dif"
"1","BWD135-MJL2","Southern Jarrah Forest","BWD135",0.8,0.362257583291895,0.661561789234268,372,1016.75,0.0472595211927175,0.347720235180494,-58.6666666666667,-73.2916666666667,0.149557521050025,0.161173852350508,0.255065689303444,"M","H",1
"2","BWD135-MJL1","Southern Jarrah Forest","BWD135",1.2,0.510705450823168,0.761137629276054,300.25,914.125,0.183269860359457,0.162819294426373,-36.75,17.125,0.0934896083404964,0.0541903140281559,0.107705700431068,"M","M",0
"3","BWD135-MJM1","Southern Jarrah Forest","BWD135",1.5,0.573687994248742,0.779192630723381,271.666666666667,804.083333333333,0.241809672386895,0.364388718910184,-189.666666666667,-243.375,0.255206248798281,0.234957178461317,0.23140375759582,"H","H",0
"4","BWD135-MJH5","Southern Jarrah Forest","BWD135",1.6,0.323206404598173,0.615134051616136,384,941.5,0.036167818678669,0.48924454703972,-83,-265.375,0.288036888067555,0.314085534883539,0.369462453391607,"H","VH",1
"5","BWD135-MJM2","Southern Jarrah Forest","BWD135",1.7,0.401026392961877,0.670697945504881,376.666666666667,989.333333333333,0.0879590093936806,0.427108929417066,-78.3333333333333,-120.5,0.208860489674493,0.217495042104226,0.304636868151083,"H","VH",1
"6","BWD135-MJH1","Southern Jarrah Forest","BWD135",2.1,0.56061047924565,0.765145684442001,267,761.5,0.230097310550916,0.552600226121651,-248.75,-327.125,0.373520795028849,0.351508586925872,0.353865598025821,"VH","VH",0
"7","BWD135-MJCS2","Southern Jarrah Forest","BWD135",2.2,0.474005305039788,0.718571207669708,303.333333333333,843.166666666667,0.145064908304142,0.646619412923605,-179.666666666667,-215.666666666667,0.371273910372411,0.356610973942734,0.438384465950218,"VH","VH",0
"8","BWD135-MJH2","Southern Jarrah Forest","BWD135",2.3,0.490144546649146,0.732053240235654,307,870.5,0.161035541904344,0.682018135813931,-207,-267,0.418072592921673,0.406484861697408,0.457378955880932,"VH","VH",0
"9","BWD135-MJH9","Southern Jarrah Forest","BWD135",2.3,0.578131058549825,0.774451387879669,258.666666666667,728.333333333333,0.258892669347355,0.599705883340261,-282.333333333333,-454.5,0.400729605128366,0.42490574124278,0.379769544834989,"VH","VH",0
"10","BWD135-MJCS1","Southern Jarrah Forest","BWD135",2.5,0.537676089628439,0.745813653928725,296,771.5,0.239634146341463,0.874631406182381,-124.5,-272.25,0.465847900504067,0.577690378353861,0.568431141601471,"VH","VH",0
"11","BWD135-MJCS9","Southern Jarrah Forest","BWD135",2.5,0.590048273301151,0.788389252401503,253.333333333333,726.166666666667,0.282035928143713,0.758922907243419,-229.333333333333,-462.333333333333,0.447890072222965,0.512109562041142,0.476995525515253,"VH","VH",0
"12","BWD135-MJCB10","Southern Jarrah Forest","BWD135",2.5,0.464489795918367,0.719488817891374,292.666666666667,829.333333333333,0.135443037974684,0.657174662072621,-139,-290.5,0.322411035338731,0.376484242597072,0.44843346156552,"VH","VH",0
"13","BWD135-MJCS5","Southern Jarrah Forest","BWD135",2.6,0.37326821489086,0.672696370037635,337,916,0.0706348589634004,0.735241166362618,-72.5,-160.625,0.414892901829543,0.435495137275427,0.535005582167968,"VH","VH",0
"14","BWD135-MJL7","Southern Jarrah Forest","BWD135",1.3,0.609213661636219,0.802949402491737,258.333333333333,780.166666666667,0.289624443029917,0.191858289735393,-72.6666666666667,-129.833333333333,0.130910159324252,0.133941160897324,0.119150827189254,"M","H",1
"15","BWD135-MJM7","Southern Jarrah Forest","BWD135",1.3,0.53655094552639,0.767149967539494,269,798.625,0.21166258624527,0.359047628184347,-116.5,-180.25,0.217756996293487,0.221957713218503,0.233519174911908,"M","H",1
