"","id","Veg.Type","BURNID","OzCBI","preNBR","preNDVI","preNIR","prei35","preNDWI","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax","RBRmax","Severity_class","predict","dif"
"1","FRK035-QHU1","Warren","FRK035",0.1,0.129501915708812,0.436025113660966,651.25,1276.375,-0.0683334503827516,0.121667697867013,-8.25,10.25,0.0480900788581813,0.0436683309577071,0.107622725955956,"L","U",-1
"2","FRK035-QHLM1","Warren","FRK035",0.7,0.144464179988159,0.625508058864751,445.333333333333,1315.16666666667,-0.0611947547353084,0.333001133230994,-129.666666666667,80.1666666666667,0.322055605805999,0.214470004604981,0.290712829828024,"M","H",0
"3","FRK035-QHM3","Warren","FRK035",1.6,-0.0671785028790787,0.414161008729389,503.333333333333,1267.16666666667,-0.251386321626617,0.289851320614531,-86.3333333333333,82.3333333333335,0.216428582425534,0.0867918515346406,0.310392640893549,"H","M",-2
"4","FRK035-QHLM2","Warren","FRK035",1.7,0.635468861846815,0.777323998444185,286.25,728.875,0.322097649186257,0.493788466459665,-127.25,-206.375,0.28585589698377,0.413585616224369,0.301740215149836,"H","VH",0
"5","FRK035-QHLM4","Warren","FRK035",1.7,0.353166170845729,0.598995605775267,399.25,890.625,0.0706119704102219,0.282120882157169,-124.25,-139.125,0.190187023053641,0.174258458644459,0.208335496950846,"H","M",-2
"6","FRK035-QHH2","Warren","FRK035",2.1,0.524783027965284,0.73987676056338,295.5,801.125,0.203989948983477,0.565862415990824,-222.5,-238.75,0.42460908045763,0.425658082355922,0.370866896288283,"VH","VH",-1
"7","FRK035-QHH4","Warren","FRK035",2.2,0.422177910712308,0.670527000650618,316.5,766.75,0.137414724904758,0.455814826316436,-209.25,-227.125,0.362075833271467,0.327605016957266,0.320279581973204,"VH","H",-2
"8","FRK035-QHH3","Warren","FRK035",2.3,-0.0414965340423512,0.43401051285694,498,1318,-0.257739539672035,0.43199456850764,56,149.5,0.19640809802296,0.192978163677248,0.450227210046063,"VH","H",-2
"9","FRK035-QHH1","Warren","FRK035",2.4,0.575684380032206,0.763592670471613,262.333333333333,725.666666666667,0.24411951684679,1.0282344123111,1.33333333333331,82.6666666666666,0.525636466092051,0.658888322919943,0.652149805841352,"VH","VH",-1
"10","FRK035-QSJL2","Warren","FRK035",0.5,0.540314486450318,0.761622345513679,311.5,909.25,0.208716198477291,0.22773665332454,-174.5,-73.75,0.17870022579688,0.0990756510265461,0.147754825719586,"L","H",1
