"","id","Burn.ID","Site","Veg.Type","OzCBI","preNBR","preNDVI","preNIR","prei35","preNDWI","postNBRmin","postNIRmin","postNDVImin","posti35max","postNDWImin","dNBRmax","dNIRmax","di35max","dNDVImax","dNDWImax"
"1","DON079-EJH1","DON079","EJH1",1,2.64,0.679012345679012,0.6,68,27,0.295238095238095,0.194029850746269,40,0.333333333333333,39,-0.168316831683168,0.484982494932744,28,-12,0.266666666666667,0.463554926921264
"2","DON079-EJH1b","DON079","EJH1b",1,2.34,0.620253164556962,0.580246913580247,64,30,0.196261682242991,0.117647058823529,37,0.321428571428571,41.5,-0.230769230769231,0.502606105733433,27,-11.5,0.258818342151675,0.427030913012221
"3","DON079-EJH2","DON079","EJH2",1,2.53,0.707317073170732,0.627906976744186,70,25,0.346153846153846,0.4,49,0.507692307692308,33.5,0,0.307317073170732,21,-8.5,0.120214669051878,0.346153846153846
"4","DON079-EJH3","DON079","EJH3",1,2.64,0.675,0.614457831325301,67,26,0.300970873786408,0.0645161290322581,33,0.294117647058824,39,-0.25,0.610483870967742,34,-13,0.320340184266478,0.550970873786408
"5","DON079-EJH4","DON079","EJH4",1,2.65,0.681818181818182,0.626373626373626,74,29,0.28695652173913,0.0606060606060606,35,0.296296296296296,42.5,-0.247311827956989,0.621212121212121,39,-13.5,0.33007733007733,0.53426834969612
"6","DON079-EJH6","DON079","EJH6",1,2.54,0.731958762886598,0.663366336633663,84,27.5,0.377049180327869,-0.137931034482759,25,0.25,38.5,-0.350649350649351,0.869889797369356,59,-11,0.413366336633663,0.727698530977219
"7","DON079-EJL1","DON079","EJL1",1,1.64,0.686746987951807,0.627906976744186,70,27.5,0.284403669724771,0.424657534246575,52,0.552238805970149,35.5,-0.00952380952380952,0.262089453705232,18,-8,0.0756681707740368,0.29392747924858
"8","DON079-EJL2b","DON079","EJL2b",1,1.46,0.655172413793103,0.548387096774194,48,20,0.297297297297297,0.522388059701492,51,0.582089552238806,27,0.139784946236559,0.132784354091611,-3,-7,-0.0337024554646125,0.157512351060738
"9","DON079-EJL3","DON079","EJL3",1,1.02,0.705263157894737,0.653061224489796,81,29,0.327868852459016,0.480519480519481,55,0.571428571428571,35,0.0526315789473684,0.224743677375256,26,-6,0.0816326530612245,0.275237273511648
"10","DON079-EJL6","DON079","EJL6",1,1.31,0.711111111111111,0.655913978494624,77,27,0.339130434782609,0.421052631578947,53,0.555555555555556,35.5,0.00900900900900901,0.290058479532164,24,-8.5,0.100358422939068,0.3301214257736
"11","DON079-EJL7","DON079","EJL7",1,1.8,0.652173913043478,0.617021276595745,76,32,0.245901639344262,0.382352941176471,47,0.492063492063492,34.5,-0.0309278350515464,0.269820971867008,29,-2.5,0.124957784532253,0.276829474395809
"12","DON079-EJM1","DON079","EJM1",1,2.42,0.695652173913043,0.642105263157895,78,29.5,0.3,0.315789473684211,46,0.470588235294118,40,-0.107142857142857,0.379862700228833,32,-10.5,0.171517027863777,0.407142857142857
"13","DON079-EJM1b","DON079","EJM1b",1,2.12,0.651162790697674,0.613636363636364,71,30,0.245614035087719,0.176470588235294,39,0.355932203389831,40,-0.175257731958763,0.47469220246238,32,-10,0.257704160246533,0.420871767046482
"14","DON079-EJM2b","DON079","EJM2b",1,1.78,0.69620253164557,0.614457831325301,67,25,0.326732673267327,0.388888888888889,50,0.515151515151515,34.5,-0.0285714285714286,0.307313642756681,17,-9.5,0.099306316173786,0.355304101838755
"15","DON079-EJM3","DON079","EJM3",1,2.21,0.68,0.647058823529412,84,32.5,0.282442748091603,0.287671232876712,47,0.424242424242424,40,-0.0961538461538462,0.392328767123288,37,-7.5,0.222816399286988,0.378596594245449
"16","DON079-EJM4","DON079","EJM4",1,1.86,0.644444444444444,0.626373626373626,74,32,0.223140495867769,0.352112676056338,48,0.5,36.5,-0.0303030303030303,0.292331768388106,26,-4.5,0.126373626373626,0.253443526170799
"17","DON079-EJM6","DON079","EJM6",1,2.01,0.701149425287356,0.644444444444444,74,27,0.321428571428571,0.283582089552239,43,0.409836065573771,38,-0.12621359223301,0.417567335735118,31,-11,0.234608378870674,0.447642163661581
"18","DON079-EJM7","DON079","EJM7",1,1.86,0.632183908045977,0.577777777777778,71,33,0.203389830508475,0.2,39,0.392857142857143,36.5,-0.178947368421053,0.432183908045977,32,-3.5,0.184920634920635,0.382337198929527
"19","DON079-EKH3","DON079","EKH3",1,2.02,0.752577319587629,0.7,85,25,0.416666666666667,0.540540540540541,54,0.611940298507463,28,0.14,0.212036779047088,31,-3,0.0880597014925373,0.276666666666667
"20","DON079-EKL4","DON079","EKL4",1,1.98,0.673469387755102,0.656565656565657,82,30.5,0.301587301587302,0.544303797468354,58,0.589041095890411,34.5,0.109090909090909,0.129165590286748,24,-4,0.0675245606752456,0.192496392496392
"21","DON079-EKM3","DON079","EKM3",1,2.08,0.739130434782609,0.666666666666667,80,24,0.428571428571429,0.470588235294118,50,0.515151515151515,32,0.0526315789473684,0.268542199488491,30,-8,0.151515151515151,0.37593984962406
"22","DON079-EKU1b","DON079","EKU1b",1,1.67,0.717647058823529,0.640449438202247,73,24.5,0.377358490566038,0.594936708860759,63,0.636363636363636,30,0.155963302752294,0.12271034996277,10,-5.5,0.00408580183861085,0.221395187813744
"23","DON081-HKH1","DON081","HKH1",1,2.42,0.513513513513513,0.6,56,30.5,NA,0.1,33,0.32,35.5,-0.241379310344828,0.413513513513514,23,-5,0.28,NA
"24","DON081-HKH10","DON081","HKH10",1,2.37,0.61038961038961,0.653333333333333,62,28,NA,0.0746268656716418,32,0.333333333333333,35,-0.191011235955056,0.535762744717969,30,-7,0.32,NA
"25","DON081-HKH2","DON081","HKH2",1,2.55,0.561643835616438,0.628571428571429,57,28,NA,0,30,0.25,35.5,-0.261904761904762,0.561643835616438,27,-7.5,0.378571428571429,NA
"26","DON081-HKH3","DON081","HKH3",1,2.49,0.534246575342466,0.6,56,29.5,NA,0.0545454545454545,27,0.227272727272727,32.5,-0.256410256410256,0.479701120797011,29,-3,0.372727272727273,NA
"27","DON081-HKH4","DON081","HKH4",1,2.5,0.436619718309859,0.545454545454545,51,33,NA,-0.0447761194029851,31,0.215686274509804,37.5,-0.280898876404494,0.481395837712844,20,-4.5,0.329768270944741,NA
"28","DON081-HKH5","DON081","HKH5",1,2.56,0.567567567567568,0.611111111111111,58,29,NA,0.0588235294117647,32,0.254901960784314,39,-0.25,0.508744038155803,26,-10,0.356209150326797,NA
"29","DON081-HKH7","DON081","HKH7",1,2.79,0.534246575342466,0.623188405797101,56,28.5,NA,-0.037037037037037,26,0.238095238095238,31,-0.277777777777778,0.571283612379503,30,-2.5,0.385093167701863,NA
"30","DON081-HKH8","DON081","HKH8",1,2.65,0.447368421052632,0.571428571428571,55,34.5,NA,-0.205479452054795,27,0.102040816326531,38.5,-0.317647058823529,0.652847873107426,28,-4,0.469387755102041,NA
"31","DON081-HKH9","DON081","HKH9",1,2.51,0.567567567567568,0.611111111111111,58,28.5,NA,0.121212121212121,36,0.309090909090909,37.5,-0.212765957446809,0.446355446355446,22,-9,0.302020202020202,NA
"32","DON081-HKL1","DON081","HKL1",1,1.32,0.69047619047619,0.710843373493976,71,25.5,NA,0.6,60,0.62962962962963,30,0.189189189189189,0.0904761904761905,11,-4.5,0.0812137438643462,NA
"33","DON081-HKL10","DON081","HKL10",1,1.15,0.692307692307692,0.714285714285714,66,23.5,NA,0.588235294117647,54,0.611940298507463,27,0.2,0.104072398190045,12,-3.5,0.102345415778252,NA
"34","DON081-HKL2","DON081","HKL2",1,1.93,0.484848484848485,0.580645161290323,49,29,NA,0.27536231884058,44,0.517241379310345,33,-0.0833333333333333,0.209486166007905,5,-4,0.0634037819799778,NA
"35","DON081-HKL3","DON081","HKL3",1,1.36,0.575,0.636363636363636,63,30.5,NA,0.417721518987342,54,0.513513513513513,37.5,-0.00884955752212389,0.157278481012658,9,-7,0.122850122850123,NA
"36","DON081-HKL4","DON081","HKL4",1,1.79,0.388888888888889,0.515151515151515,50,36.5,NA,0.162790697674419,50,0.408450704225352,50,-0.224806201550388,0.22609819121447,0,-13.5,0.106700810926163,NA
"37","DON081-HKL5","DON081","HKL5",1,1.56,0.78494623655914,0.765957446808511,83,21.5,NA,0.617977528089888,66,0.617977528089888,32,0.210084033613445,0.166968708469252,17,-10.5,0.147979918718623,NA
"38","DON081-HKL7","DON081","HKL7",1,1.33,0.614457831325301,0.634146341463415,67,29.5,NA,0.463414634146341,55,0.527777777777778,36.5,0.0434782608695652,0.15104319717896,12,-7,0.106368563685637,NA
"39","DON081-HKL9","DON081","HKL9",1,1.48,0.69047619047619,0.710843373493976,71,24.5,NA,0.634146341463415,67,0.654320987654321,25.5,0.313725490196078,0.0563298490127758,4,-1,0.0565223858396549,NA
"40","DON081-HKM1","DON081","HKM1",1,1.93,0.621621621621622,0.666666666666667,60,25,NA,0.313432835820896,43,0.419354838709677,36,-0.102040816326531,0.308188785800726,17,-11,0.247311827956989,NA
"41","DON081-HKM10","DON081","HKM10",1,1.93,0.662650602409639,0.703703703703704,69,25,NA,0.386666666666667,49,0.462686567164179,38,-0.0458715596330275,0.275983935742972,20,-13,0.241017136539525,NA
"42","DON081-HKM1b","DON081","HKM1b",1,2.08,0.643835616438356,0.643835616438356,60,24.5,NA,0.225806451612903,38,0.357142857142857,36,-0.173913043478261,0.418029164825453,22,-11.5,0.286692759295499,NA
"43","DON081-HKM2","DON081","HKM2",1,2.39,0.546666666666667,0.611111111111111,58,30.5,NA,0.209876543209877,49,0.462686567164179,44.5,-0.183333333333333,0.33679012345679,9,-14,0.148424543946932,NA
"44","DON081-HKM3","DON081","HKM3",1,2.58,0.527777777777778,0.594202898550725,55,29.5,NA,0.2,35,0.320754716981132,36.5,-0.170212765957447,0.327777777777778,20,-7,0.273448181569593,NA
"45","DON081-HKM4","DON081","HKM4",1,2.56,0.408450704225352,0.538461538461538,50,34.5,NA,0,36,0.285714285714286,43.5,-0.269230769230769,0.408450704225352,14,-9,0.252747252747253,NA
"46","DON081-HKM5","DON081","HKM5",1,1.9,0.686746987951807,0.686746987951807,70,25.5,NA,0.350649350649351,49,0.420289855072464,40,-0.0714285714285714,0.336097637302457,21,-14.5,0.266457132879343,NA
"47","DON081-HKM7","DON081","HKM7",1,2.01,0.659090909090909,0.67816091954023,73,30,NA,0.236842105263158,46,0.323943661971831,46,-0.182608695652174,0.422248803827751,27,-16,0.354217257568399,NA
"48","DON081-HKM9","DON081","HKM9",1,2.43,0.68,0.68,63,22,NA,0.333333333333333,42,0.4,32.5,-0.0561797752808989,0.346666666666667,21,-10.5,0.28,NA
"49","DON081-HKU1","DON081","HKU1",1,1.41,0.625,0.666666666666667,65,28,NA,0.463414634146341,57,0.558441558441558,35.5,0.0526315789473684,0.161585365853659,8,-7.5,0.108225108225108,NA
"50","DON081-HKU2","DON081","HKU2",1,1.37,0.777777777777778,0.758241758241758,80,22,NA,0.734939759036145,72,0.714285714285714,23.5,0.384615384615385,0.0428380187416332,8,-1.5,0.0439560439560439,NA
"51","DON081-HKU4","DON081","HKU4",1,1.45,0.558441558441558,0.621621621621622,60,30.5,NA,0.325,47,0.446153846153846,40.5,-0.0701754385964912,0.233441558441558,13,-10,0.175467775467775,NA
"52","FRK050-LHH10","FRK050","LHH10",1,2.03,0.529411764705882,0.6,52,27,0.118279569892473,-0.0714285714285714,26,0.268292682926829,32.5,-0.277777777777778,0.600840336134454,26,-5.5,0.331707317073171,0.396057347670251
"53","FRK050-LHH11","FRK050","LHH11",1,2.13,0.582089552238806,0.630769230769231,53,25.5,0.152173913043478,0.0689655172413793,31,0.347826086956522,34.5,-0.225,0.513124034997427,22,-9,0.282943143812709,0.377173913043478
"54","FRK050-LHH4","FRK050","LHH4",1,2.52,0.413333333333333,0.514285714285714,53,36.5,-0.0275229357798165,-0.133333333333333,26,0.209302325581395,38.5,-0.297297297297297,0.546666666666667,27,-2,0.304983388704319,0.269774361517481
"55","FRK050-LHH7","FRK050","LHH7",1,2.08,0.549295774647887,0.617647058823529,55,28.5,0.111111111111111,-0.087719298245614,26,0.268292682926829,33,-0.267605633802817,0.637015072893501,29,-4.5,0.3493543758967,0.378716744913928
"56","FRK050-LHH8","FRK050","LHH8",1,2.23,0.552631578947368,0.638888888888889,59,28,0.156862745098039,-0.0571428571428571,31,0.26530612244898,39,-0.284210526315789,0.609774436090226,28,-11,0.373582766439909,0.441073271413829
